Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Asf;Amm;Esp;Au;Final_Year;Is_First_Season;Squadra_T;Pg_previous_year;Pg_previous_year_2;Mf_previous_year;Mf_previous_year_2;Gf_previous_year;Gf_previous_year_2;Gs_previous_year;Gs_previous_year_2;Rp_previous_year;Rp_previous_year_2;Rc_previous_year;Rc_previous_year_2;R+_previous_year;R+_previous_year_2;R-_previous_year;R-_previous_year_2;Ass_previous_year;Ass_previous_year_2;Asf_previous_year;Asf_previous_year_2;Amm_previous_year;Amm_previous_year_2;Esp_previous_year;Esp_previous_year_2;Au_previous_year;Au_previous_year_2;Mf_predicted
2130;D;HATEBOER;Atalanta;34;6.06;6.57;5;0;0;0;0;0;5;0;5;0;0;2019;FALSE;1;32.0;3.0;5.95;6.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;6.41
615;D;HELANDER;Bologna;19;5.74;5.58;0;0;0;0;0;0;0;0;6;0;0;2019;FALSE;4;28.0;10.0;5.75;5.8;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0;0.0;0.0;5.66
115;C;HETEMAJ;Chievo;28;5.7;5.75;2;0;0;0;0;0;0;0;9;0;0;2019;FALSE;5;32.0;23.0;6.11;5.59;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;9.0;6.0;0.0;0.0;1.0;0.0;5.92
583;D;HEURTAUX;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;7;17.0;9.0;5.35;5.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;5.59
408;A;HIGUAIN;Milan;15;6.0;6.93;6;0;0;1;0;1;1;0;2;1;0;2019;FALSE;14;33.0;38.0;7.56;8.43;15.0;24.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;6.81
433;C;HILJEMARK;Genoa;15;5.7;5.9;1;0;0;0;0;0;0;0;0;0;0;2019;FALSE;13;15.0;26.0;6.07;5.83;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;5.97
2312;D;HRISTOV;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5
140;D;HYSAJ;Napoli;25;5.76;5.76;0;0;0;0;0;0;2;0;4;0;0;2019;FALSE;3;35.0;34.0;5.91;5.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;8.0;1.0;0.0;0.0;1.0;6.18
2862;P;IACOBUCCI;Frosinone;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.54
2801;D;IACOPONI;Parma;38;5.71;5.66;0;0;0;0;0;0;0;0;4;0;0;2019;TRUE;26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.72
475;A;IAGO FALQUE;Torino;25;6.22;7.08;6;0;0;0;0;0;3;1;1;0;0;2019;FALSE;19;36.0;34.0;7.35;7.25;12.0;10.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;1.0;6.0;6.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;6.59
4331;D;IBANEZ;Atalanta;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.78
277;A;ICARDI;Inter;29;5.88;7.05;6;0;0;6;5;1;4;0;0;0;0;2019;FALSE;16;34.0;34.0;8.82;8.26;23.0;21.0;0.0;0.0;0.0;0.0;7.0;4.0;6.0;3.0;1.0;1.0;1.0;4.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;7.26
542;P;ICHAZO;Torino;3;5.67;5.0;0;2;0;0;0;0;0;0;0;0;0;2019;FALSE;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.7
177;C;ILICIC;Atalanta;31;6.39;7.55;12;0;0;1;0;1;4;2;4;1;0;2019;FALSE;1;31.0;29.0;7.74;6.38;9.0;4.0;0.0;0.0;0.0;0.0;2.0;3.0;2.0;1.0;0.0;2.0;8.0;0.0;0.0;2.0;3.0;2.0;0.0;0.0;0.0;0.0;6.73
785;A;IMMOBILE;Lazio;35;6.04;7.41;11;0;0;4;4;0;6;0;6;0;0;2019;FALSE;9;33.0;36.0;9.2;8.26;22.0;17.0;0.0;0.0;0.0;0.0;8.0;6.0;7.0;6.0;1.0;0.0;8.0;2.0;0.0;0.0;3.0;5.0;1.0;0.0;0.0;0.0;7.36
2838;D;IMPERIALE;Empoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;TRUE;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.67
2191;C;INGELSSON;Udinese;3;5.17;5.17;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;7;5.0;0.0;6.3;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.74
123;A;INGLESE;Parma;25;6.14;7.24;7;0;0;2;2;0;2;0;3;0;0;2019;FALSE;26;33.0;31.0;6.89;6.95;11.0;10.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;6.42
661;C;INIGUEZ;Udinese;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.68
409;A;INSIGNE;Napoli;28;6.07;7.07;9;0;0;2;1;1;5;0;6;1;0;2019;FALSE;3;37.0;37.0;7.2;8.24;7.0;16.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;0.0;10.0;8.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;7.03
627;C;IONITA;Cagliari;37;5.76;5.97;3;0;0;0;0;0;2;0;4;1;0;2019;FALSE;23;35.0;17.0;5.73;6.47;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;6.23
226;D;IZZO;Torino;37;6.23;6.5;4;0;0;0;0;0;1;0;6;0;0;2019;FALSE;19;16.0;29.0;6.06;5.72;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;2.0;6.29
2152;A;JAKUPOVIC;Empoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;2019;FALSE;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.84
4325;P;JANDREI;Genoa;1;6.5;5.5;0;1;0;0;0;0;0;0;0;0;0;2019;TRUE;13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.38
4338;C;JANKOVIC;SPAL;2;6.0;5.75;0;0;0;0;0;0;0;0;1;0;0;2019;TRUE;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.73
1987;C;JANKTO;Sampdoria;17;5.59;5.53;0;0;0;0;0;0;0;0;2;0;0;2019;FALSE;12;36.0;25.0;6.39;6.72;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;1.0;1.0;5.0;6.0;0.0;0.0;0.0;0.0;6.11
2208;D;JAROSZYNSKI;Chievo;19;5.63;5.58;0;0;0;0;0;0;0;0;2;0;0;2019;FALSE;5;10.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;5.44
